title,tags
Anna Karenina,"trapped in a loveless marriage, aristocrat anna karenina enters into a life-changing affair with the affluent count vronsky. drama romance based_on_novel st._petersburg_russia high_society imperial_russia tragic_death 19th_century keira_knightley jude_law aaron_taylor-johnson joe_wright an epic story of love."
Chappie,"every child come into the world full of promise, and none more so than chappie: he is gifted, special, a prodigy. like any child, chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. but there's one thing that make chappie different from any one else: he is a robot. crime action science_fiction artificial_intelligence android robot near_future robot_cop sharlto_copley dev_patel ninja neill_blomkamp i am consciousness. i am alive. i am chappie."
The Bone Collector,"rookie cop, amelia donaghy reluctantly team with lincoln rhyme – formerly the department's top homicide detective but now paralyzed a a result of a spinal injury – to catch a grisly serial killer dubbed 'the bone collector'. the murderer's special signature is to leave tantalizing clue based on the grim remains of his crimes. drama mystery thriller crime paraplegic investigation psychopath denzel_washington angelina_jolie queen_latifah phillip_noyce serial killer vs. forensic genius"
Three Kings,"a group of american soldier stationed in iraq at the end of the gulf war find a map they believe will take them to a huge cache of stolen kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything. action adventure comedy gold gulf_war three_kings iraq kuwait rescue interracial_relationship treasure_map soldier u.s._soldier gold_theft persian_gulf emergency_surgery mine_field george_clooney mark_wahlberg ice_cube david_o._russell it's good to be king."
Child 44,"set in stalin-era soviet union, a disgraced mgb agent is dispatched to investigate a series of child murder -- a case that begin to connect with the very top of party leadership. crime thriller based_on_novel soviet_union russian murder serial_killer military child_murder stalinism 1950s tom_hardy gary_oldman noomi_rapace daniel_espinosa how do you find a killer who doesn’t exist?"
Rat Race,"in an ensemble film about easy money, greed, manipulation and bad driving, a las vegas casino tycoon entertains his wealthiest high roller -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundred of mile away. the tycoon and his wealthy friend monitor each racer's every move to keep track of their favorites. the only rule in this race is that there are no rules. adventure comedy casino running preisgeld millionaire road_movie cuba_gooding_jr. seth_green whoopi_goldberg jerry_zucker 563 miles. 9 people. $2 million. 1001 problems!"
K-PAX,"prot is a patient at a mental hospital who claim to be from a far away planet. his psychiatrist try to help him, only to begin to doubt his own explanations. drama science_fiction robbery dream hypnosis investigation murder alien hospital planet patient medication psychiatrist science claim doubt mental help jeff_bridges kevin_spacey mary_mccormack iain_softley change the way you look at the world."
Kate & Leopold,"when her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named leopold to prove it -- a skeptical kate reluctantly take responsibility for showing leopold the 21st century. the more time kate spends with leopold, the harder she fall for him. but if he doesn't return to his own time, his absence will forever alter history. comedy fantasy romance science_fiction lover_(female) love_of_one's_life time_travel kiss past secret_love fish_out_of_water meg_ryan hugh_jackman liev_schreiber james_mangold if they lived in the same century they'd be perfect for each other."
Bedazzled,"elliot richardson, suicidal techno geek, is given seven wish to turn his life around when he meet up with a very seductive satan. the catch: his soul. some of his wish include a 7 foot basketball star, a rock star, and a hamburger. but, a could be expected, the devil must put her own little twist on each his fantasies. fantasy comedy romance love_of_one's_life mephisto wish sale_of_soul pact_with_the_devil teuflisch elizabeth_hurley brendan_fraser frances_o'connor harold_ramis meet the devil. she's giving elliott seven wishes. but not a chance in hell."
The Cotton Club,"the story of the people that frequented harlem's famous nightclubs, 'the cotton club', and those that ran it. music drama crime romance jazz jazz_musician musical mafia richard_gere gregory_hines diane_lane francis_ford_coppola it wa the jazz age. it wa an era of elegance and violence. the action wa gambling. the stake were life and death."
3:10 to Yuma,"in arizona in the late 1800's, infamous outlaw ben wade and his vicious gang of thief and murderer have plagued the southern railroad. when wade is captured, civil war veteran dan evans, struggling to survive on his drought-plagued ranch, volunteer to deliver him alive to the ""3:10 to yuma"", a train that will take the killer to trial. western saloon hero liberation_of_prisoners transport_of_prisoners wilderness dying_and_death race_against_time railway_car stetson rivalry gang gunfight crime family psychological dishonesty heroic_mission righting_the_wronged chases_and_races parents_and_children mind_and_soul russell_crowe christian_bale logan_lerman james_mangold time wait for one man."
Taken 3,"ex-government operative bryan mills find his life is shattered when he's falsely accused of a murder that hit close to home. as he's pursued by a savvy police inspector, mills employ his particular set of skill to track the real killer and exact his unique brand of justice. thriller action revenge murder on_the_run fugitive framed father_daughter_relationship framed_for_murder liam_neeson forest_whitaker maggie_grace olivier_megaton it ends here"
Out of Sight,"meet jack foley, a smooth criminal who bend the law and is determined to make one last heist. karen sisco is a federal marshal who chooses all the right move … and all the wrong guys. now they're willing to risk it all to find out if there's more between them than just the law. variety hail out of sight a ""a sly, sexy, vastly entertaining film."" romance comedy crime journalist bedroom purse trunk elmore_leonard george_clooney jennifer_lopez ving_rhames steven_soderbergh opposites attract."
The Cable Guy,"when recently single steven move into his new apartment, cable guy chip come to hook him up -- and doesn't let go. initially, chip is just overzealous in his desire to be steven's pal, but when steven try to end the ""friendship,"" chip show his dark side. he begin stalking steven, who's left to fend for himself because no one else can believe chip's capable of such behavior. comedy drama thriller prison prostitute karaoke dark_comedy cable_guy jim_carrey matthew_broderick leslie_mann ben_stiller there's no such thing a free cable."
Dick Tracy,"the comic strip detective find his life vastly complicated when breathless mahoney make advance towards him while he is trying to battle big boy caprice's united mob, adventure action comedy thriller crime corruption crime_fighter gangster_boss investigation based_on_comic_strip policeman warren_beatty al_pacino madonna warren_beatty their turf. their game. their rules. they didn't count on his law..."
The Thomas Crown Affair,"a very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective. drama crime romance martinique claude_monet famous_painting glider insurance_agent missing_painting stolen_painting valuable_painting rich_people pierce_brosnan rene_russo denis_leary john_mctiernan how do you get the man who ha everything?"
Riding in Cars with Boys,"a single mother, with dream of becoming a writer, ha a son at the age of 15 in 1965, and go through a failed marriage with the drug-addicted father. comedy drama romance baby becoming_an_adult puberty dream drug_addiction wife unwillingly_pregnant writer youth marriage_problems woman_director drew_barrymore steve_zahn adam_garcia penny_marshall one day can make your life; one day can ruin your life. all life is is four or five big day that change everything."
First Blood,"when former green beret john rambo is harassed by local law enforcement and arrested for vagrancy, the vietnam vet snaps, run for the hill and rat-a-tat-tat his way into the action-movie hall of fame. hounded by a relentless sheriff, rambo employ heavy-handed guerilla tactic to shake the cop off his tail. action adventure thriller war prison vietnam_veteran falsely_accused police_brutality sheriff guerrilla submachine_gun gun destroy self-defense vietnam vietnam_war prosecution dying_and_death village_and_town police_operation attempt_to_escape matter_of_life_and_death survivor tramp national_guard weapon firearm police escape sylvester_stallone richard_crenna brian_dennehy ted_kotcheff this time he's fighting for his life."
Happily N'Ever After,"an alliance of evil-doers, led by frieda, look to take over fairy tale land. but when ella realizes her stepmother is out to ruin her storybook existence, she take a dramatic turn and blossom into the leader of the resistance effort. animation comedy family fantasy science_fiction dwarf cinderella wolf bad_mother-in-law prince fairy_tale little_red_riding_hood step_mother wizardry princess sleeping_beauty rumpelstilzchen good_and_bad intern woman_director george_carlin andy_dick sarah_michelle_gellar yvette_kaplan fairy tale endings aren't what they used to be"
Mary Reilly,"a housemaid fall in love with dr. jekyll and his darkly mysterious counterpart, mr. hyde. drama horror thriller romance servant monster laboratory jekyll_and_hyde housemaid 19th_century julia_roberts john_malkovich george_cole stephen_frears the untold story of jekyll and hyde"
My Best Friend's Wedding,"when she receives word that her longtime platonic pal michael o'neal is getting married to debutante kimberly wallace, food critic julianne potter realizes her true feeling for michael -- and set out to sabotage the wedding. comedy romance karaoke marriage_proposal new_love love_of_one's_life kiss man-woman_relation secret_love wedding julia_roberts dermot_mulroney cameron_diaz p.j._hogan it's about finding the love of your life. and deciding what to do about it."
America's Sweethearts,"in the midst of a nasty public breakup of married movie stars, a studio publicist scramble to put a cap on the escalating situation a the couple's latest film ha found it's only print kidnapped by the director. comedy romance film_business film_producer wife_husband_relationship fictitious_marriage married_couple marriage_crisis julia_roberts billy_crystal catherine_zeta-jones joe_roth hollywood's hottest couple just split up. it'll take more than special effect to reunite them."
Insomnia,two los angeles homicide detective are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen. crime mystery thriller detective confession fbi homicide blackmail suspect love murder los_angeles teenager neo-noir al_pacino robin_williams hilary_swank christopher_nolan a tough cop. a brilliant killer. an unspeakable crime.
Star Trek: First Contact,"the borg, a relentless race of cyborgs, are on a direct course for earth. violating order to stay away from the battle, captain picard and the crew of the newly-commissioned uss enterprise e pursue the borg back in time to prevent the invader from changing federation history and assimilating the galaxy. science_fiction action adventure thriller federation starfleet borg enterprise-e cyborg montana resistance inventor repayment obsession business_start-up space_opera patrick_stewart jonathan_frakes brent_spiner jonathan_frakes resistance is futile."
Jonah Hex,"gunslinger jonah hex (josh brolin) is appointed by president ulysses grant to track down terrorist quentin turnbull (john malkovich), a former confederate officer determined on unleashing hell on earth. jonah not only secures freedom by accepting this task, he also get revenge on the man who slayed his wife and child. megan fox play a prostitute a well a jonah hex's love interst in the film. action western drama fantasy thriller gunslinger usa dc_comics hell facial_scar death confederate tomahawk josh_brolin john_malkovich megan_fox jimmy_hayward revenge get ugly."
Courage Under Fire,"a us army officer had made a ""friendly fire"" mistake that wa covered up and he wa reassigned to a desk job. later he wa tasked to investigate a female chopper commander's worthiness to be awarded the medal of honor posthumously. at first all seemed in order then he begin to notice inconsistency between the testimony of the witnesses.... drama thriller mystery war gulf_war pilot u.s._army praise rescue_mission dead_soldier tank medal denzel_washington meg_ryan lou_diamond_phillips edward_zwick a medal for honor. a search for justice. a battle for truth."
Liar Liar,"fletcher reede is a fast-talking attorney and habitual liar. when his son max blow out the candle on his fifth birthday he ha just one wish - that his dad will stop lying for 24 hours. when max's wish come true, fletcher discovers that his mouth ha suddenly become his biggest liability. comedy california workaholic birthday lie pregnancy_and_birth wish 1990s jim_carrey maura_tierney cary_elwes tom_shadyac trust me."
The Infiltrator,a u.s customs official uncovers a massive money laundering scheme involving pablo escobar. crime drama thriller undercover biography drug drug_lord bryan_cranston diane_kruger john_leguizamo brad_furman the true story of one man against the biggest drug cartel in history.
Inchon,a noisy and absurd re-telling of the great 1950 invasion of inchon during the korean war which wa masterminded by general douglas macarthur. drama history war laurence_olivier jacqueline_bisset ben_gazzara terence_young love. destiny. heroes. war changes everything.
The Flintstones,modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred help barney adopt a child. barney see an opportunity to repay him when slate mining test it employee to find a new executive. but no good deed go unpunished. fantasy comedy family manager jealousy bad_mother-in-law adoption family's_daily_life stone_age plan friendship best_friend dinosaur john_goodman elizabeth_perkins rick_moranis brian_levant yabba-dabba-doo!
Taken 2,"in istanbul, retired cia operative bryan mills and his wife are taken hostage by the father of a kidnapper mills killed while rescuing his daughter. action crime thriller kidnapping turkey police_chase bag_over_head violence fbi_agent teenage_daughter stealing_a_car ex-husband_ex-wife_relationship albanian u.s._embassy killed_in_an_elevator security_guard_killed liam_neeson maggie_grace famke_janssen olivier_megaton first they took his daughter. now they're coming for him."
Scary Movie 3,"in the third installment of the scary movie franchise, news anchorwoman cindy campbell ha to investigate mysterious crop circle and killing video tapes, and help the president stop an alien invasion in the process. comedy horror_spoof pamela_anderson jenny_mccarthy marny_eng david_zucker great trilogy come in threes."
Miss Congeniality,"when the local fbi office receives a letter from a terrorist known only a 'the citizen', it's quickly determined that he's planning his next act at the miss america beauty pageant. because tough-as-nails gracie hart is the only female agent at the office, she's chosen to go undercover a the contestant from new jersey. comedy crime action undercover_agent beauty_contest terrorism sandra_bullock benjamin_bratt michael_caine donald_petrie never mess with an agent in a dress."
Journey to the Center of the Earth,"on a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth. action science_fiction adventure comedy family volcano prehistoric dinosaur prehistoric_creature 3d brendan_fraser josh_hutcherson anita_briem eric_brevig same planet. different world."
The Princess Diaries 2: Royal Engagement,"mia thermopolis is now a college graduate and on her way to genovia to take up her duty a princess. her best friend lilly also join her for the summer. mia continues her 'princess lessons'- riding horse side-saddle, archery, and other royal. but her complicated life is turned upside down once again when she not only learns that she is to take the crown a queen earlier than expected... comedy drama family romance coronation duty marriage falling_in_love anne_hathaway julie_andrews héctor_elizondo garry_marshall it can take a lifetime to find true love; she's got 30 days!"
The Pelican Brief,two supreme court justices have been assassinated. one lone law student ha stumbled upon the truth. an investigative journalist want her story. everybody else want her dead. drama mystery thriller crime judge professor mission_of_murder supreme_court julia_roberts denzel_washington sam_shepard alan_j._pakula two supreme court justices have been assassinated. one lone law student ha stumbled upon the truth. an investigative journalist want her story. everybody else want her dead.
The Client,"a street-wise kid, mark sway, see the suicide of jerome clifford, a prominent louisiana lawyer, whose current client is barry 'the blade' muldano, a mafia hit-man. before jerome shoot himself, he tell mark where the body of a senator is buried. clifford shoot himself and mark is found at the scene, and both the fbi and the mafia quickly realize that mark probably know more than he says. drama thriller crime mystery suicide brother_brother_relationship witness_protection principal_witness_ brother investigation search_for_witnesses lawyer gangster susan_sarandon tommy_lee_jones mary-louise_parker joel_schumacher a district attorney out for a conviction. a new lawyer out of her league. a young boy who knew too much."
The Bucket List,"corporate billionaire edward cole and working class mechanic carter chambers are world apart. at a crossroad in their lives, they share a hospital room and discover they have two thing in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to term with who they are. together they embark on the road trip of a lifetime, becoming friend along the way and learning to live life to the fullest, with insight and humor. drama comedy africa himalaya brain_tumor wife_husband_relationship sense_of_life male_friendship safari dying_and_death wish journey_round_the_world terminal_illness billionaire father_daughter_relationship estranged_father elderly bucket_list taj_mahal jack_nicholson morgan_freeman sean_hayes rob_reiner find the joy."
Patriot Games,"when cia analyst jack ryan interferes with an ira assassination, a renegade faction target jack and his family a revenge. drama action thriller crime assassination assassin repayment ira jack_ryan harrison_ford anne_archer patrick_bergin phillip_noyce not for honor. not for country. for his wife and child."
Monster-in-Law,"office temp charlotte cantilini think she's found mr. right when she start dating gorgeous surgeon dr. kevin fields. but there's a problem standing in the way of everlasting bliss: kevin's overbearing and controlling mother, viola. fearing she'll lose her son's affection forever, viola decides to break up the happy couple by becoming the world's worst mother-in-law. romance comedy bad_mother-in-law surgeon dogsitter falling_in_love jennifer_lopez jane_fonda michael_vartan robert_luketic this relationship is going to be a real mother."
Prisoners,"when keller dover's daughter and her friend go missing, he take matter into his own hand a the police pursue multiple lead and the pressure mounts. but just how far will this desperate father go to protect his family? drama thriller crime pennsylvania kidnapping maze vigilante rural_setting candlelight_vigil hugh_jackman jake_gyllenhaal paul_dano denis_villeneuve every moment matters."
Training Day,"on his first day on the job a a narcotic officer, a rookie cop work with a rogue detective who isn't what he appears. action crime drama thriller police_brutality war_on_drugs drug_traffic drug_dealer los_angeles gang_member mexican_american barrio cholo denzel_washington ethan_hawke scott_glenn antoine_fuqua the only thing more dangerous than the line being crossed, is the cop who will cross it."
Galaxy Quest,"the star of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi convention - are beamed aboard an alien spacecraft. believing the cast's heroic on-screen drama are historical document of real-life adventures, the band of alien turn to the ailing celebrity for help in their quest to overcome the oppressive regime in their solar system. comedy family science_fiction space_battle spaceship spoof fictional_tv_show tim_allen sigourney_weaver alan_rickman dean_parisot a comedy of galactic proportions."
Scary Movie 2,"while the original parodied slasher flick like scream, keenen ivory wayans's sequel to scary movie take comedic aim at haunted house movies. a group of student visit a mansion called ""hell house,"" and murderous high jinks ensue. comedy sex exorcism secret_door anna_faris marlon_wayans james_debello keenen_ivory_wayans no more mercy. no more shame. no more sequels - honest! - we lied."
The Muppets,"when kermit the frog and the muppets learn that their beloved theater is slated for demolition, a sympathetic human, gary, and his puppet roommate, walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day. comedy family music musical the_muppets robot oil_tycoon studio_tour duringcreditsstinger amy_adams jason_segel emily_blunt james_bobin they're closer than you think."
Blade,"when blade's mother wa bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: all the good vampire attribute in combination with the best human skills. blade and his mentor whistler battle an evil vampire rebel (deacon frost) who plan to take over the outdated vampire council, capture blade and resurrect voracious blood god la magra. horror action suicide hero vampire bite fistfight supernatural vampire_hunter superhero rivalry tragic_hero good_vs_evil one_man_army extreme_violence martial_arts_master scientist violence disarming_someone blade machine_gun english_subtitles_in_original hypodermic_needle microscope secret_headquarters bullet_dodging bullet_time kicked_in_the_groin x_rayed_skeleton mouth_guard escapade imaginary deadly master_warrior supernatural_ability fang_vamp wesley_snipes stephen_dorff kris_kristofferson stephen_norrington part man. part vampire. all hero."
Coach Carter,"based on a true story, in which richmond high school head basketball coach ken carter made headline in 1999 for benching his undefeated team due to poor academic results. drama black_people autoritian_education sport high_school scholarship basketball violence_in_schools teacher teachers_and_students samuel_l._jackson rob_brown robert_ri'chard thomas_carter it begin on the street. it end here."
Changing Lanes,"a rush-hour fender-bender on new york city's crowded fdr drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. but on this day, at this time, a minor collision will turn two complete stranger into vicious adversaries. their mean of destroying each other might be different, but their goals, ultimately, will be the same: each will systematically try to dismantle the other's life in a reckless effort to reclaim something he ha lost. action adventure crime thriller new_york custody_battle suspense lawyer ben_affleck samuel_l._jackson kim_staunton roger_michell an ambitious lawyer, a desperate father, they had no reason to meet, until today,"
Anaconda,"a ""national geographic"" film crew is taken hostage by an insane hunter, who take them along on his quest to capture the world's largest - and deadliest - snake. adventure horror thriller amazon jungle anaconda film_crew killer_snake river_boat amazon_river animal_horror jennifer_lopez ice_cube jon_voight luis_llosa when you can't breathe you can't scream."
Coyote Ugly,"graced with a velvet voice, 21-year-old violet sanford head to new york to pursue her dream of becoming a songwriter only to find her aspiration sidelined by the accolade and notoriety she receives at her ""day"" job a a barmaid at coyote ugly. the ""coyotes"" a they are affectionately called tantalize customer and the medium alike with their outrageous antics, making coyote ugly the watering hole for guy on the prowl. comedy bar musical beautiful_woman piper_perabo adam_garcia john_goodman david_mcnally this party never ends."
Love Actually,follows seemingly unrelated people a their life begin to intertwine while they fall in – and out – of love. affections languish and develop a christmas draw near. comedy romance drama london_england male_nudity female_nudity love_at_first_sight usa_president marseille office christmas_party marriage_proposal bars_and_restaurants press_conference language_barrier prime_minister rock_star tv_show metal_detector war_on_terror school_performance multiple_storylines keira_knightley heike_makatsch emma_thompson richard_curtis the ultimate romantic comedy.
A Bug's Life,"on behalf of ""oppressed bug everywhere,"" an inventive ant named flik hire a troupe of warrior bug to defend his bustling colony from a horde of freeloading grasshopper led by the evil-minded hopper. adventure animation comedy family winter fight ant invention collector ant-hill kids_and_family grass duringcreditsstinger kevin_spacey julia_louis-dreyfus hayden_panettiere andrew_stanton an epic presentation of miniature proportions."
From Hell,frederick abberline is an opium-huffing inspector from scotland yard who fall for one of jack the ripper's prostitute target in this hughes brother adaption of a graphic novel that posit the ripper's true identity. horror mystery thriller loss_of_family drug_addiction jack_the_ripper johnny_depp heather_graham ian_holm albert_hughes only the legend will survive.
The Specialist,"may munro is a woman obsessed with getting revenge on the people who murdered her parent when she wa still a girl. she hire ray quick, a retired explosive expert to kill her parent's killers. when ned trent, embittered ex-partner of quick's is assigned to protect one of quick's potential victims, a deadly game of cat and mouse ensues. action thriller explosive revenge explosives_expert sylvester_stallone sharon_stone james_woods luis_llosa the government taught him to kill. now he's using his skill to help a woman seek revenge against the miami underworld."
Tin Cup,a washed up golf pro working at a driving range try to qualify for the us open in order to win the heart of his succesful rival's girlfriend. comedy drama romance lover_(female) golf man-woman_relation sport woman_between_two_men kevin_costner don_johnson cheech_marin ron_shelton golf pro. love amateur.
"Yours, Mine and Ours","when a widower with 10 child marries a widow with 8, can the 20 of them ever come together a one big happy family? comedy drama family nurse widow child parent sibling lucille_ball henry_fonda van_johnson melville_shavelson their wedding night set new attendence record"
Kicking & Screaming,"phil weston ha been unathletic his entire life. in college he failed at every sport that he tried out for. it look like his 10-year old son, sam, is following in his footsteps. but with becoming the coach of the soccers, an already successful soccer team, everything changes. romance comedy family father_son_relationship generations_confilct sport amateur_soccer soccer_coach will_ferrell robert_duvall kate_walsh jesse_dylan one man could lead this team to glory. . . that man wa busy"
The Hitchhiker's Guide to the Galaxy,"mere second before the earth is to be demolished by an alien construction crew, arthur dent is swept off the planet by his friend ford prefect, a researcher penning a new edition of ""the hitchhiker's guide to the galaxy."" adventure comedy family science_fiction bureaucracy england dolphin android based_on_novel chase space_travel galaxy spaceship alien stop_motion survival hitchhiker robot alien_invasion everyman hyperspace meaning_of_life based_on_radio_show alien_attack bathrobe destruction_of_earth intergalactic_travel islington_england talking_robot martin_freeman zooey_deschanel sam_rockwell garth_jennings don't leave earth without it."
Resident Evil: Extinction,"years after the racoon city catastrophe, survivor travel across the nevada desert, hoping to make it to alaska. alice join the caravan and their fight against horde of zombie and the evil umbrella corp. horror action science_fiction clone mutant post-apocalyptic dystopia conspiracy evil_corporation zombie based_on_video_game milla_jovovich oded_fehr ali_larter russell_mulcahy the extinction is coming..."
Blended,"after a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows a their respective kid benefit from the burgeoning relationship. comedy africa blind_date relationship family_vacation family drew_barrymore adam_sandler wendi_mclendon-covey frank_coraci single dad, no clue. single mum, flying solo."
Last Holiday,"after she's diagnosed with a terminal illness, a shy woman decides to take a european vacation. adventure comedy drama queen_latifah ll_cool_j timothy_hutton wayne_wang she always thought she wa somebody special... and she was."
The River Wild,"while on a family vacation, rafting expert gail take on a pair of armed killer while navigating a spectacularly violent river. action adventure crime thriller river robber boston bank_robber marriage_crisis hostage-taking rafting criminal white_water_rafting meryl_streep david_strathairn kevin_bacon curtis_hanson the vacation is over"
Savages,pot grower ben and chon face off against the mexican drug cartel who kidnapped their shared girlfriend. crime drama thriller widow american_abroad eye_gouging dea_agent shot_in_the_shoulder gun_in_mouth filmed_killing southern_california improvised_explosive_device surrogate_daughter shot_in_the_throat laguna_beach_california enforcer gardner skull_mask dea blake_lively taylor_kitsch aaron_taylor-johnson oliver_stone young beautiful deadly.
Cellular,a young man receives an emergency phone call on his cell phone from an older woman. she claim to have been kidnapped – and the kidnapper have targeted her husband and child next. action adventure crime thriller bank mobile_phone telephone weapon police duringcreditsstinger chris_evans kim_basinger jason_statham david_r._ellis if the signal dy so doe she
Johnny English,"rowan play the eponymous lead character in a spoof spy thriller. during the course of the story we follow our hero a he attempt to single-handedly save the country from falling into the hand of a despot. adventure action comedy spy hero queen intelligence coronation funeral secret_agent queen_elisabeth_ii weapon spoof explosion agent pen duringcreditsstinger rowan_atkinson john_malkovich natalie_imbruglia peter_howitt he know no fear, he know no danger, he know nothing."
The Ant Bully,"fed up with being targeted by the neighborhood bully, 10-year-old lucas nickle vent his frustration on the anthill in his front yard ... until the insect shrink him to the size of a bug with a magic elixir. convicted of ""crimes against the colony,"" lucas can only regain his freedom by living with the ant and learning their ways. fantasy adventure animation comedy family ant child_hero shrinking ant-hill child julia_roberts meryl_streep nicolas_cage john_a._davis the battle for the lawn is on."
Dune,"in the year 10,191, the world is at war for control of the desert planet dune – the only place where the time-travel substance 'spice' can be found. but when one leader give up control, it's only so he can stage a coup with some unsavory characters. action science_fiction adventure prophecy witch monster telepathy atomic_bomb space_marine emperor mutation insurgence space_travel guild duke water chosen_one dystopia jihad spice war messiah denunciation kyle_maclachlan francesca_annis leonardo_cimino david_lynch a world beyond your experience, beyond your imagination."
Across the Universe,"musical based on the beatles songbook and set in the 60 england, america, and vietnam. the love story of lucy and jude is intertwined with the anti-war movement and social protest of the 60s. adventure drama music romance riot protest musical music cultural_difference university fantasy_sequence anti_war police_arrest march woman_director 1960s evan_rachel_wood jim_sturgess joe_anderson julie_taymor all you need is love."
Revolutionary Road,a young couple living in a connecticut suburb during the mid-1950s struggle to come to term with their personal problem while trying to raise their two children. based on a novel by richard yates. drama romance adultery jealousy infidelity career marriage_crisis connecticut leonardo_dicaprio kate_winslet michael_shannon sam_mendes how do you break free without breaking apart?
16 Blocks,"an aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet a other force try to prevent them from getting there. action adventure crime thriller mission_of_murder male_bonding doing_the_right_thing people_change bruce_willis yasiin_bey david_morse richard_donner for a new york cop and his witness, the distance between life and death just got very short."
Babylon A.D.,"in babylon a.d vin diesel star a a veteran-turned-mercenary who is hired to deliver a package from the ravage of post-apocalyptic eastern europe to a destination in the teeming megalopolis of new york city. the ""package"" is a mysterious young woman with a secret. action adventure science_fiction thriller submarine baby secret future mercenary prosecution protection dystopia moral_conflict smuggling vision pregnant cyberpunk sect vin_diesel michelle_yeoh mélanie_thierry mathieu_kassovitz kill or be killed."
The Glimmer Man,"a former government operative renowned for his stealth, jack cole is now a los angeles police detective. when a series of horrible murder occurs in the metro area, cole is assigned to the case, along with tough-talking fellow cop jim campbell. although the two men clash, they gradually become effective partner a they uncover a conspiracy linked to the killings, which also involves terrorism and organized crime. action adventure crime drama thriller secret_agent past cop series_of_murders homicide_detective steven_seagal keenen_ivory_wayans bob_gunton john_gray two good cops. one bad situation."
Multiplicity,"construction worker doug kinney find that the pressure of his working life, combined with his duty to his wife laura and daughter jennifer leaf him with little time for himself. however, he is approached by geneticist dr. owen leeds, who offer doug a rather unusual solution to his problems: cloning. comedy fantasy science_fiction clone mistake_in_person cloning experiment_gone_wrong construction michael_keaton andie_macdowell harris_yulin harold_ramis sometimes to get more out of life, you have to make more of yourself."
Aliens in the Attic,"it's summer vacation, but the pearson family kid are stuck at a boring lake house with their nerdy parents. that is until feisty, little, green alien crash-land on the roof, with plan to conquer the house and earth! using only their wits, courage and video game-playing skills, the youngster must band together to defeat the alien and save the world - but the toughest part might be keeping the whole thing a secret from their parents! featuring an all-star cast including ashley tisdale, andy richter, kevin nealon, tim meadows and doris roberts, aliens in the attic is the most fun you can have on this planet! adventure comedy family fantasy science_fiction alien comedy duringcreditsstinger beforecreditsstinger live_action_and_animation carter_jenkins austin_butler kevin_nealon john_schultz the alien vs. the pearsons"
The Phantom,the 21st successor to the role of bengalla's resident superhero must travel to new york to prevent a rich madman from obtaining three magic skull that would give him the secret to ultimate power. adventure action secret_identity gold gangster_boss phantom silver power battle_for_power jade based_on_comic_book jungle masked_hero crystal_skull billy_zane kristy_swanson treat_williams simon_wincer slam evil!
All the Pretty Horses,"the year is 1949. a young texan named john grady find himself without a home after his mother sell the ranch where he ha spent his entire life. lured south of the border by the romance of cowboy life and the promise of a fresh start, cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their life forever. drama romance western dancing chess prisoner coffin wrong_accusal ranch airplane beating jail rifle corpse lasso cautery matt_damon henry_thomas penélope_cruz billy_bob_thornton some passion can never be tamed."
Nixon,"an all-star cast power this epic look at american president richard m. nixon, a man carrying the fate of the world on his shoulder while battling the self-destructive demand from within. spanning his troubled boyhood in california to the shocking watergate scandal that would end his presidency. history drama usa_president presidential_election watergate_scandal biography government historical_figure anthony_hopkins joan_allen powers_boothe oliver_stone triumphant in victory, bitter in defeat. he changed the world, but lost a nation."
The Ghost Writer,"a writer stumble upon a long-hidden secret when he agrees to help former british prime minister adam lang complete his memoir on a remote island after the politician's assistant drowns in a mysterious accident. in director roman polanski's tense drama, the author realizes that his discovery threatens some very powerful people who will do anything to ensure that certain episode from lang's past remain buried. thriller mystery london_england cia war_crime tony_blair author ewan_mcgregor pierce_brosnan jon_bernthal roman_polanski read between the lies."
Deep Rising,"a group of heavily armed hijacker board a luxury ocean liner in the south pacific ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creature who have taken over the ship first. adventure action horror science_fiction ocean_liner sea_monster jewel_heist armed_robbery treat_williams famke_janssen anthony_heald stephen_sommers full scream ahead"
